GEOID,chapter
040019449011075,Wide Ruins Chapter
040019451002124,Nahatadziil Chapter
040019449013061,Ganado Chapter
040019443012047,Rough Rock Chapter
040019440001022,Sawmill Chapter
040059451002133,Bird Springs Chapter
040059450003085,Bodaway Chapter
040019441003057,Chinle Chapter
040019442023012,Chinle Chapter
040019449012012,Kinlichee Chapter
040019443022063,Tselani Chapter
040019440001121,Crystal Chapter
040059450002051,Tuba City Chapter
040059450001261,Bodaway Chapter
040059422012045,Coppermine Chapter
040019427002253,Dennehotso Chapter
040019427002052,Sweetwater Chapter
040019449012008,Kinlichee Chapter
040019449014148,Klagetoh Chapter
040019450023095,Houck Chapter
040019442011022,Nazlini Chapter
040019449014134,Klagetoh Chapter
040019450021037,Oak Springs Chapter
040019450021047,Oak Springs Chapter
040019449012049,Kinlichee Chapter
040019449023096,Wide Ruins Chapter
040019450022085,St. Michaels Chapter
040019440002069,Fort Defiance Chapter
040019441001013,Lukachukai Chapter
040019441004043,Tsaile-Wheatfields Chapter
040019427001105,Red Valley Chapter
040019441003015,Tsaile-Wheatfields Chapter
040019440001104,Crystal Chapter
040019449021168,Steamboat Chapter
040019426001059,Dennehotso Chapter
040019426001070,Dennehotso Chapter
040059422013039,Tonalea Chapter
040059450001225,Cameron Chapter
040059422023030,Tonalea Chapter
040059450001054,Bodaway Chapter
040019451001038,Nahatadziil Chapter
040059451004104,Coalmine Mesa Chapter
040179400081020,Forest Lake Chapter
040179400152097,Teesto Chapter
040059451002075,Leupp Chapter
040059451002176,Leupp Chapter
040059451002104,Leupp Chapter
040059451001042,Leupp Chapter
040050013023114,Leupp Chapter
040019426001036,Dennehotso Chapter
040019427002004,Teec Nos Pos Chapter
040019440001106,Crystal Chapter
040019441002043,Rock Point Chapter
040179400132038,Jeddito Chapter
040179400153041,Indian Wells Chapter
040019427004010,Beclabito Chapter
040059422012012,Coppermine Chapter
040059450003144,Bodaway Chapter
040179400081058,Forest Lake Chapter
040019449012100,Kinlichee Chapter
040019443022149,Tselani Chapter
040019449021015,Steamboat Chapter
040019450011002,St. Michaels Chapter
040019449014125,Klagetoh Chapter
040019443022132,Nazlini Chapter
040019443012058,Rough Rock Chapter
040019449023106,Wide Ruins Chapter
040019426001079,Dennehotso Chapter
040019449022103,Greasewood Chapter
040059422012124,Coppermine Chapter
040059422021030,Navajo Mountain Chapter
040059451004386,Cameron Chapter
040179400082066,Hard Rock Chapter
040019441002110,Round Rock Chapter
040019427004211,Sanostee Chapter
040019443011041,Many Farms Chapter
040179400102036,Low Mountain Chapter
040019450022065,St. Michaels Chapter
040019440001107,Crystal Chapter
040019441003120,Tsaile-Wheatfields Chapter
