tract_geoid,HTN_crude_prev,DM_crude_prev
04003001401,14,2.5
04005002201,27.5,8.1
04007001300,41.7,21.4
04007000100,43,14.6
04007000600,45,17.2
04003001302,43.7,15.4
04001942700,38.6,20.4
04001944000,35.2,17.8
04003000600,36.3,16.4
04007000400,39.7,13.2
04001970501,30.9,11.5
04003000102,50.5,18.3
04005001000,11.8,2.2
04005002302,33.7,10.4
04007000800,43.9,18.3
04003002002,40.9,13.7
04001944100,34.5,18.2
04003000301,46.1,16.9
04005001302,28.7,8.9
04005000500,25.8,9.2
04007001100,35.2,14.3
04003001501,38.4,14
04003000800,40.4,20.6
04009961202,31.7,10.4
04005001301,29.9,9.2
04003001502,40.5,15.9
04005000302,24.7,9
04009961201,26.4,7.9
04003000700,34.1,15.5
04005001602,40.2,13
04003001701,33,10.4
04003002001,38.7,12.5
04003001301,43.5,15.6
04007940200,39,21
04001944901,39.8,21.8
04005001103,18.7,6
04003000502,47.5,17.4
04005944900,33.7,15.2
04007000302,39.4,13.7
04003000203,45.7,14.9
04005002301,31.9,11.7
04003001000,40,12.2
04005000400,25.6,8
04005945000,39.2,19.8
04005000902,24.9,8.5
04003001100,46.5,19.1
04001944202,36.8,19.3
04005002102,25.9,8.4
04001945001,33.5,16.1
04005000200,26.4,7.9
04003001900,37.4,11.1
04005000301,27.1,9.9
04005000901,21.2,6
04001942600,39.2,21.5
04001970202,43.5,18.2
04009961300,34,12.7
04007940400,35.5,17.8
04003001702,38.5,13.9
04003000101,42.4,17.5
04005001104,18.4,5.4
04005000601,36,11.7
04001945002,40.5,22.2
04003001703,35.9,10.8
04007001000,35.7,13.9
04005002202,26.6,7.6
04007000200,41.1,14.4
04005002101,29,9.9
04009961100,32.7,10.5
04003000902,41.7,22.2
04001944201,34.1,17.4
04005001700,33.3,11.8
04005000800,20.6,6.9
04003001601,31.3,9.5
04005000602,24.5,7.1
04001945100,39.1,21.2
04001944301,38.8,21.3
04003000201,38.1,13.2
04003000202,36.9,14.8
04005000700,24.8,7.7
04003000400,45,14.5
04007000700,47,16.9
04005001601,44.3,15.1
04003000304,39.9,12
