facility_id,facility_name_cms,address_line_1_cms,address_line_2_cms,city_cms,state_cms,zip_code_cms,county_cms,telephone_cms,dialysis_station_count,facility_name_google,formatted_address_google,place_id_google,latitude,longitude,match_status
032302,Valleywise Comprehensive Health Center- Phoenix Outpatient Dialysis Unit.,2525 E ROOSEVELT ST,NA,PHOENIX,AZ,85008,Maricopa,(602) 344-1601,11,Valleywise Comprehensive Health Center - Phoenix,"2525 E Roosevelt St, Phoenix, AZ 85008, United States",ChIJLaZXLucNK4cRisElkamgeck,33.457516,-112.0283644,verified
032314,032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER,1920 E CAMBRIDGE RD STE 102,NA,PHOENIX,AZ,85016,Maricopa,(602) 933-3220,6,Phoenix Children's Hospital Thomas Campus - Dialysis Center,"1920 E Cambridge Ave Floor 1, Phoenix, AZ 85006, United States",ChIJ712nl44NK4cRGCEN9DBR8rE,33.4779895,-112.0402781,manual
032315,032315 GILA RIVER DIALYSIS EAST,565 W SEED FARM RD,NA,SACATON,AZ,85147,Pinal,(602) 271-7900,40,GRHC Dialysis Center - East,"565 W Seed Farm Rd, Sacaton, AZ 85147, United States",ChIJ_0feZFVXKocREf6L9e5r7bg,33.0737971,-111.7621948,verified
032316,032316 Banner University Medical Center Pediatric Outpatient DIALYSIS UNIT,PO BOX 245148,NA,TUCSON,AZ,85724,Pima,(520) 694-7176,4,"Banner - University Medical Center Tucson | Tucson, AZ | Campbell Ave.","1625 N Campbell Ave, Tucson, AZ 85719, United States",ChIJqYievqZx1oYR6r3xjxYjf0g,32.2429301,-110.9462013,manual
032500,DaVita Tucson West Dialysis,1780 W ANKLAM RD,NA,TUCSON,AZ,85745,Pima,(520) 624-2220,35,DaVita Tucson West Dialysis,"1780 W Anklam Rd, Tucson, AZ 85745, United States",ChIJz-puiNF21oYRiN9B791Uj7U,32.2263857,-111.0043578,verified
032501,DaVita Tucson East Dialysis,6420 E BROADWAY BLVD STE C300,NA,TUCSON,AZ,85710,Pima,(520) 790-2775,27,DaVita Tucson East Dialysis,"6420 E Broadway Blvd c300, Tucson, AZ 85710, United States",ChIJS6w5VKlv1oYRgxHeZiV77bs,32.21921,-110.855711,manual
032502,DaVita Yuma Dialysis,2130 W 24TH ST,NA,YUMA,AZ,85364,Yuma,(928) 783-2365,30,DaVita Yuma Dialysis,"2130 W 24th St, Yuma, AZ 85364, United States",ChIJJePHCCH21oARKROUmCgAv6w,32.6853399,-114.6456259,verified
032503,032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC),13090 N 94TH DR STE 100,NA,PEORIA,AZ,85381,Maricopa,(623) 974-5851,21,Fresenius Kidney Care Phoenix Artificial Kidney Center,"13090 N 94th Dr #100, Peoria, AZ 85381, United States",ChIJ9cArMEBCK4cRsPHjTFT01XY,33.6022199,-112.2630406,manual
032506,DaVita Tuba City Dialysis,500 Edgewater Drive,PO Box 2910,TUBA CITY,AZ,86045,Coconino,(928) 283-4525,26,DaVita Tuba City Dialysis,"500 Edgewater Dr, Tuba City, AZ 86045, United States",ChIJdzhJ1ZzRM4cR20wIa2tE4fQ,36.1297666,-111.2339215,manual
032508,032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC),1021 S 7TH AVE STE 108,NA,PHOENIX,AZ,85007,Maricopa,(602) 253-1954,18,Fresenius Kidney Care South Phoenix,"1021 S 7th Ave Ste 108, Phoenix, AZ 85007, United States",ChIJDRPwvIgRK4cRwokH5-1HbJk,33.4373506,-112.0820957,manual
