facility_id,facility_name_cms,address_line_1_cms,address_line_2_cms,city_cms,state_cms,zip_code_cms,county_cms,telephone_cms,dialysis_station_count,facility_name_google,formatted_address_google,place_id_google,latitude,longitude,match_status,total_weighted_demand,blocks_in_catchment,R_j
32506,DaVita Tuba City Dialysis,500 Edgewater Drive,PO Box 2910,TUBA CITY,AZ,86045,Coconino,(928) 283-4525,26,DaVita Tuba City Dialysis,"500 Edgewater Dr, Tuba City, AZ 86045, United States",ChIJdzhJ1ZzRM4cR20wIa2tE4fQ,36.1297666,-111.2339215,manual,243975.9355793257,1021,1.0656788727241678e-4
32518,DaVita Chinle Dialysis,US HWY 191,PO BOX 879,CHINLE,AZ,86503,Apache,(928) 674-5426,26,DaVita Chinle Dialysis,"US Hwy 191, Chinle, AZ 86503, United States",ChIJZ47aB2acOocRc4vwJ9cE6ZU,36.1568845,-109.584472,manual,242645.81836138663,1497,1.0715206293510765e-4
32524,032524 FLAGSTAFF DIALYSIS CENTER (FMC),"2201 N VICKEY STREET, STE 120",NA,FLAGSTAFF,AZ,86004,Coconino,(928) 526-7071,16,Fresenius Kidney Care Flagstaff,"2201 N Vickey St Ste 120, Flagstaff, AZ 86004, United States",ChIJR7MioaaOLYcR-GY7mrUCVXc,35.2073868,-111.6067628,manual,828342.4520624223,2855,1.9315682735036583e-05
32536,032536 WINSLOW DIALYSIS CENTER (FMC),721 MIKE'S PIKE STREET,NA,WINSLOW,AZ,86047,Navajo,(928) 289-1003,17,Fresenius Kidney Care Winslow,"721 Mike's Pike St, Winslow, AZ 86047, United States",ChIJ7QBvVlxCLocRC9MNiXY2zPM,35.0402446,-110.7015385,verified,385076.9342536385,2451,4.414702229036293e-5
32559,DaVita Kayenta Dialysis,HWY 163,BOX 217,KAYENTA,AZ,86033,Navajo,(928) 697-8182,18,DaVita Kayenta Dialysis,"Highway 163 Box 217, Kayenta, AZ 86033, United States",ChIJfdJmS0PXMIcRuaVNgNCER74,36.7104912,-110.2479834,manual,178481.74370805532,1147,1.008506507502684e-4
32592,DaVita Hopi Dialysis Center,HIGHWAY 264 MILE MARKER 388,PO BOX 964,POLACCA,AZ,86042,Navajo,(928) 737-5490,11,DaVita Hopi Dialysis Center,"HWY 264 MILE MARKER 388, Polacca, AZ 86042, United States",ChIJBzLdQ1jKMYcR71kHDNrqeRQ,35.8022226,-110.4260281,manual,186075.39892010443,1007,5.9115821134007576e-5
32636,USRC FLAGSTAFF,2268 N WALGREENS ST,NA,FLAGSTAFF,AZ,86004,Coconino,(928) 556-5500,17,U.S. Renal Care,"2268 N Walgreen Blvd, Flagstaff, AZ 86004, United States",ChIJa3BplKiPLYcRZlRL3MZiYrw,35.2071018,-111.6028931,verified,807735.6912717469,2774,2.104648857751252e-5
62528,DaVita Cortez Dialysis Center,610 E MAIN ST,STE C,CORTEZ,CO,81321,Montezuma,(970) 565-4302,18,DaVita Cortez Dialysis Center,"610 E Main St ste c, Cortez, CO 81321, United States",ChIJY6CqOplvOYcRb2HFq7IzG6g,37.349762,-108.5764645,verified,396993.8078686558,1890,4.534075757160234e-5
322310,322310 UNM PEDIATRIC DIALYSIS,2211 LOMAS BLVD NE BOX 256,NA,ALBUQUERQUE,NM,87106,Bernalillo,(505) 925-4387,4,UNM Hospital,"2211 Lomas Blvd NE, Albuquerque, NM 87106, United States",ChIJdYDs0c4MIocRmo0tuqOKzyE,35.0882062,-106.6189678,manual,9090031.607634554,15105,4.4004247429024033e-7
322500,322500 NEW MEXICO ARTIFICIAL KIDNEY CENTER (FMC),1600 RANDOLPH SE STE 100,NA,ALBUQUERQUE,NM,87106,Bernalillo,(505) 244-3633,21,Fresenius Kidney Care Albuquerque,"1600 Randolph Ct SE STE 100, Albuquerque, NM 87106, United States",ChIJ3a4HX3gMIocRqfGvE6vjOgI,35.0532766,-106.6292047,manual,8637419.297838505,14786,2.4312817608906867e-6
322503,DaVita Four Corners Dialysis Center,801 W BROADWAY,NA,FARMINGTON,NM,87401,San Juan,(505) 325-2827,36,DaVita Four Corners Dialysis Center,"801 W Broadway, Farmington, NM 87401, United States",ChIJ-2RBxvWPO4cRCSwyso1oHfI,36.7276495,-108.2185893,verified,1117863.696680661,3438,3.220428403471455e-5
322504,322504 ALBUQUERQUE KIDNEY CENTER (FMC),11296 LOMAS BLVD NE,NA,ALBUQUERQUE,NM,87112,Bernalillo,(505) 298-5557,21,Fresenius Kidney Care Northeast Albuquerque,"11296 Lomas Blvd NE, Albuquerque, NM 87112, United States",ChIJo2NUcHCgGIcR5oh_EgHWq0c,35.0863931,-106.525127,verified,8881683.892696943,14903,2.3644165063414908e-6
322506,322506 ALBUQUERQUE DIALYSIS (DCI),1500 INDIAN SCHOOL RD NE,NA,ALBUQUERQUE,NM,87102,Bernalillo,(505) 724-1500,32,"Dialysis Clinic, Inc.","1500 Indian School Rd NE, Albuquerque, NM 87102, United States",ChIJx4QUBFYLIocR_BZ0SJw0QwI,35.0978339,-106.6284637,verified,9685784.669809312,15596,3.303810800145529e-6
322509,322509 RIO RANCHO DIALYSIS (FMC),1760 GRANDE BLVD STE 100,NA,RIO RANCHO,NM,87124,Sandoval,(505) 892-1880,25,Fresenius Kidney Care Rio Rancho,"1760 Grande Blvd SE # 100, Rio Rancho, NM 87124, United States",ChIJgbmKiOJwIocRR7mPDB3rcAc,35.2274204,-106.6612856,manual,7696491.601860689,13665,3.2482332591587638e-6
322510,322510 GRANTS DIALYSIS (DCI),1213 BONITA ST,NA,GRANTS,NM,87020,Cibola,(505) 285-5200,12,"Dialysis Clinic, Inc.","1213 Bonita Ave, Grants, NM 87020, United States",ChIJnycIVBObI4cRZl2Vsb2FD6o,35.1620808,-107.8288809,verified,425593.9796919098,1766,2.819588756562505e-5
322511,322511 CENTRAL NEW MEXICO KIDNEY CENTER (FMC),2800 PALMILLA RD,NA,LOS LUNAS,NM,87031,Valencia,(505) 866-9544,20,Fresenius Kidney Care Central New Mexico Kidney Center,"2800 Palmilla Rd NW, Los Lunas, NM 87031, United States",ChIJ8Y8Zp4ccIocRDAtHJ5poi9k,34.818415,-106.7687419,verified,5808923.267452051,13932,3.442978858416309e-6
322515,DaVita Shiprock Dialysis Center,US HIGHWAY 491 N,NA,SHIPROCK,NM,87420,San Juan,(505) 368-4125,20,DaVita Shiprock Dialysis Center,"US-491, Shiprock, NM 87420, United States",ChIJXXfI5oSuO4cRoH8R0Lf6eWg,36.793088,-108.6893439,verified,744895.6094762677,4186,2.6849399762286018e-5
