CMS Certification Number (CCN),Network,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Certification Date,Claims Date,EQRS Date,SMR Date,Patient Survival Category Text,Patient Survival data availability code,Number of Patients included in survival summary,Mortality Rate (Facility),Mortality Rate: Upper Confidence Limit (97.5%),Mortality Rate: Lower Confidence Limit (2.5%),SHR Date,Patient hospitalization category text,Patient Hospitalization data availability Code,Number of patients included in hospitalization summary,Hospitalization Rate (Facility),Hospitalization Rate: Upper Confidence Limit (97.5%),Hospitalization Rate: Lower Confidence Limit (2.5%),SRR Date,Patient Hospital Readmission Category,Patient Hospital Readmission data availability Code,Number of hospitalizations included in hospital readmission summary,Readmission Rate (Facility),Readmission Rate: Upper Confidence Limit (97.5%),Readmission Rate: Lower Confidence Limit (2.5%),STrR Date,Patient Transfusion category text,Patient Transfusion data availability Code,Number of patients included in the transfusion summary,Transfusion Rate (Facility),Transfusion Rate: Upper Confidence Limit (97.5%),Transfusion Rate: Lower Confidence Limit (2.5%),FYSWR Date,FYSWR category text,Patient transplant waitlist data availability code,Number of patients in this facility for FYSWR,First Year Standardized Kidney Transplant Waitlist Ratio,95% C.I. (upper limit) for FYSWR,95% C.I. (lower limit) for FYSWR,PPPW category text,Patient prevalent transplant waitlist data availability code,Number of patients for PPPW,Percentage of Prevalent Patients Waitlisted for Kidney Transplant,95% C.I. (upper limit) for PPPW,95% C.I. (lower limit) for PPPW,SEDR Date,SEDR category text,Emergency Department Encounter data availability Code,Number of patients included in SEDR summary,Standardized ED visits ratio (Facility),SEDR: Upper Confidence Limit (97.5%),SEDR: Lower Confidence Limit (2.5%),ED30 Date,ED30 Category text,Emergency Department Encounter Ratio Occurring within 30 Days of Hospital Discharge data availability Code,Number of hospitalizations included in ED30 summary,Standardized ED visits within 30 days of hospital discharge ratio (Facility),ED30: Upper Confidence Limit (97.5%),ED30: Lower Confidence Limit (2.5%),YEARS Modality Switch BASED UPON,SMoSR: Classification Category (FACILITY),Modality Switch Data Availability Code,SMoSR: Number of Eligible patients (FACILITY),SMoSR: Standardized Modality Switch Ratio (FACILITY),SMoSR: Upper Confidence Limit (FACILITY),SMoSR: Lower Confidence Limit (FACILITY),SIR Date,Patient Infection category text,Patient Infection Data Availability Code,Standard Infection Ratio,SIR: Upper Confidence Limit (97.5%),SIR: Lower Confidence Limit (2.5%),Fistula Category Text,Fistula data availability code,Number of Patients included in fistula summary,Fistula Rate (Facility),Fistula Rate: Upper Confidence Limit (97.5%),Fistula Rate: Lower Confidence Limit (2.5%),HCP Vaccination Data Collection Dates,HCP Vaccination Data Availability Code,Healthcare worker COVID-19 vaccination adherence percentage,Adult HD Kt/V data availability code,Number of adult HD patients with KT/V data,Number of adult HD patient-months with Kt/V data,Percent of Adult HD patients with Kt/V >= 1.2,Adult PD Kt/V data availability code,Number of adult PD patients with KT/V data,Number of adult PD patient-months with Kt/V data,Percentage of Adult PD PTS with Kt/V >= 1.7,Pediatric HD Kt/V Data Availability Code,Number of pediatric HD patients with Kt/V data,Number of pediatric HD patient-months with KT/V data,Percentage of Pediatric HD patients with Kt/V >= 1.2,Pediatric PD Kt/V Data Availability Code,Number of pediatric PD patients with Kt/V data,Number of pediatric PD patient-months with KT/V data,Percentage of pediatric PD patients with Kt/V>=1.8,Percentage of Medicare patients with Hgb<10 g/dL,HGB<10 data availability code,Percentage of Medicare patients with Hgb>12 g/dL,Hgb > 12 data availability code,Number of Dialysis Patients with Hgb data,Hypercalcemia Data Availability Code,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Serum phosphorus Data Availability Code,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary,Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Long term catheter Data Availability Code,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Percentage of Adult patients with long term catheter in use,nPCR Data Availability Code,Number of patients in nPCR summary,Number of patient-months in nPCR summary,Percentage of pediatric HD patients with nPCR
012306,8,CHILDRENS HOSPITAL DIALYSIS,01Jan2021-31Dec2024,,260,1600 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,Jefferson,(205) 638-9275,Non-profit,No,Independent,No,7,Yes,Yes,Yes,1982-11-17,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,68.0,6.5,40.3,0.1,01Jan2024-31Dec2024,Worse than Expected,001,19.0,256.0,409.8,169.6,01Jan2024-31Dec2024,As Expected,001,54.0,33.8,45.7,22.5,01Jan2024-31Dec2024,Not Available,199,1.0,,,,01Jan2021-31Dec2023,As Expected,001,39.0,1.46,2.33,0.85,As Expected,001,41.0,19.9,42.7,7.7,01Jan2024-31Dec2024,Not Available,201,0.0,,,,01Jan2023-31Dec2024,Not Available,199,0.0,,,,01Jan2021-31Dec2023,Not Available,201,0.0,,,,01Jan2024-31Dec2024,As Expected,001,1.78,3.7,0.72,Not Available,201,0.0,,,,01Apr2025-30JUN2025,001,18.0,201,0.0,,,199,2.0,10.0,,001,19.0,138.0,88.0,001,19.0,94.0,80.0,,199,,199,9.0,199,2.0,8.0,,199,2.0,10.0,,,,,,201,0.0,,,001,22.0,152.0,89.0
012500,8,FMC CAPITOL CITY,01Jan2021-31Dec2024,2.0,001,255 S JACKSON STREET,,MONTGOMERY,AL,36104,Montgomery,(334) 263-1028,Profit,Yes,Fresenius Medical Care,No,28,Yes,Yes,Yes,1976-09-01,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,454.0,22.5,35.7,14.7,01Jan2024-31Dec2024,As Expected,001,104.0,108.7,183.0,70.1,01Jan2024-31Dec2024,As Expected,001,76.0,25.7,37.8,15.9,01Jan2024-31Dec2024,As Expected,001,30.0,6.1,114.8,0.7,01Jan2021-31Dec2023,Worse than Expected,001,46.0,0.0,0.88,0.0,As Expected,001,97.0,7.7,24.5,2.1,01Jan2024-31Dec2024,As Expected,001,37.0,0.86,1.81,0.43,01Jan2023-31Dec2024,As Expected,001,47.0,0.68,1.81,0.16,01Jan2021-31Dec2023,Worse than Expected,001,74.0,0.27,0.98,0.03,01Jan2024-31Dec2024,Better than Expected,001,0.0,0.38,,As Expected,001,116.0,55.0,75.4,29.9,01Apr2025-30JUN2025,001,0.0,001,111.0,1034.0,98.0,201,0.0,,,259,0.0,,,259,0.0,,,22.0,001,0.0,001,27.0,001,112.0,1060.0,1.0,001,116.0,1092.0,7.0,21.0,26.0,29.0,17.0,001,116.0,1097.0,13.0,259,0.0,,
012501,8,DaVita Gadsden Dialysis,01Jan2021-31Dec2024,2.0,001,409 SOUTH FIRST STREET,,GADSDEN,AL,35901,Etowah,(256) 547-2511,Profit,Yes,DaVita,No,24,Yes,No,No,1976-09-01,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,193.0,26.6,43.0,16.3,01Jan2024-31Dec2024,As Expected,001,50.0,189.6,318.7,120.9,01Jan2024-31Dec2024,As Expected,001,55.0,29.6,44.0,17.6,01Jan2024-31Dec2024,Not Available,199,10.0,,,,01Jan2021-31Dec2023,Not Available,199,22.0,,,,As Expected,001,37.0,10.9,48.1,1.6,01Jan2024-31Dec2024,As Expected,001,13.0,1.47,3.5,0.62,01Jan2023-31Dec2024,As Expected,001,34.0,0.91,2.16,0.25,01Jan2021-31Dec2023,As Expected,001,35.0,1.02,2.99,0.21,01Jan2024-31Dec2024,As Expected,001,0.32,1.56,0.02,As Expected,001,53.0,53.0,77.1,27.4,01Apr2025-30JUN2025,001,0.0,280,53.0,424.0,,280,0.0,,,280,0.0,,,280,0.0,,,,199,,199,7.0,280,53.0,424.0,,280,53.0,434.0,,,,,,001,53.0,444.0,14.0,280,0.0,,
012502,8,DaVita Tuscaloosa University Dialysis,01Jan2021-31Dec2024,2.0,001,220 15TH STREET,,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 345-6004,Profit,Yes,DaVita,No,23,Yes,Yes,No,1977-10-21,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,381.0,25.9,40.6,17.1,01Jan2024-31Dec2024,As Expected,001,88.0,166.3,258.9,114.5,01Jan2024-31Dec2024,Better than Expected,001,95.0,13.6,23.6,6.7,01Jan2024-31Dec2024,As Expected,001,19.0,39.0,144.5,14.4,01Jan2021-31Dec2023,Worse than Expected,001,44.0,0.0,0.8,0.0,As Expected,001,83.0,7.7,28.1,1.8,01Jan2024-31Dec2024,As Expected,001,22.0,0.82,1.8,0.39,01Jan2023-31Dec2024,As Expected,001,60.0,1.26,2.15,0.64,01Jan2021-31Dec2023,As Expected,001,56.0,1.36,2.8,0.55,01Jan2024-31Dec2024,Better than Expected,001,0.0,0.47,,Worse than Expected,001,98.0,32.8,52.8,13.3,01Apr2025-30JUN2025,001,0.0,280,92.0,836.0,,280,11.0,90.0,,280,0.0,,,280,0.0,,,20.0,001,0.0,001,15.0,280,99.0,937.0,,280,103.0,886.0,,,,,,001,98.0,878.0,11.0,280,0.0,,
012505,8,DaVita PDI-Montgomery,01Jan2021-31Dec2024,2.0,001,1001 FOREST AVENUE,,MONTGOMERY,AL,36106,Montgomery,(334) 269-9416,Profit,Yes,DaVita,No,19,Yes,Yes,Yes,1977-12-14,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,364.0,26.8,43.6,17.0,01Jan2024-31Dec2024,As Expected,001,97.0,160.4,252.9,109.2,01Jan2024-31Dec2024,As Expected,001,79.0,20.9,34.3,10.8,01Jan2024-31Dec2024,Worse than Expected,001,29.0,65.2,152.0,34.4,01Jan2021-31Dec2023,As Expected,001,49.0,0.21,1.17,0.01,As Expected,001,98.0,5.2,22.4,1.0,01Jan2024-31Dec2024,As Expected,001,33.0,0.63,1.61,0.27,01Jan2023-31Dec2024,As Expected,001,48.0,1.57,3.1,0.61,01Jan2021-31Dec2023,As Expected,001,47.0,0.46,1.66,0.06,01Jan2024-31Dec2024,Better than Expected,001,0.0,0.66,,As Expected,001,78.0,66.4,88.5,44.9,01Apr2025-30JUN2025,001,0.0,280,71.0,625.0,,280,34.0,272.0,,280,0.0,,,280,0.0,,,18.0,001,0.0,001,22.0,280,105.0,942.0,,280,110.0,975.0,,,,,,001,78.0,696.0,14.0,280,0.0,,
012506,8,DaVita Dothan Dialysis,01Jan2021-31Dec2024,3.0,001,216 GRACELAND DR.,,DOTHAN,AL,36305,Houston,(334) 793-4077,Profit,Yes,DaVita,No,27,Yes,Yes,Yes,1977-11-28,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,276.0,25.4,37.6,17.8,01Jan2024-31Dec2024,As Expected,001,67.0,141.6,238.9,89.1,01Jan2024-31Dec2024,As Expected,001,61.0,26.4,38.8,15.7,01Jan2024-31Dec2024,Not Available,199,15.0,,,,01Jan2021-31Dec2023,As Expected,001,31.0,0.45,2.52,0.01,As Expected,001,53.0,7.6,38.1,1.1,01Jan2024-31Dec2024,As Expected,001,22.0,0.99,2.27,0.46,01Jan2023-31Dec2024,As Expected,001,22.0,0.95,2.54,0.18,01Jan2021-31Dec2023,As Expected,001,47.0,1.31,3.06,0.43,01Jan2024-31Dec2024,As Expected,001,0.93,2.24,0.3,As Expected,001,73.0,60.4,82.9,38.5,01Apr2025-30JUN2025,001,0.0,280,67.0,570.0,,280,0.0,,,280,0.0,,,280,0.0,,,24.0,001,6.0,001,17.0,280,69.0,595.0,,280,73.0,625.0,,,,,,001,73.0,625.0,12.0,280,0.0,,
012507,8,FMC MOBILE,01Jan2021-31Dec2024,4.0,001,2620 OLD SHELL RD,,MOBILE,AL,36607,Mobile,(251) 476-2762,Profit,Yes,Fresenius Medical Care,Yes,24,Yes,No,No,1979-01-04,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,403.0,23.8,37.4,15.6,01Jan2024-31Dec2024,As Expected,001,96.0,109.5,190.4,68.6,01Jan2024-31Dec2024,As Expected,001,61.0,17.9,35.2,7.2,01Jan2024-31Dec2024,As Expected,001,26.0,33.2,123.0,12.3,01Jan2021-31Dec2023,As Expected,001,30.0,1.19,3.49,0.25,As Expected,001,90.0,18.9,38.6,7.9,01Jan2024-31Dec2024,As Expected,001,29.0,0.97,1.98,0.5,01Jan2023-31Dec2024,As Expected,001,36.0,0.71,1.96,0.15,01Jan2021-31Dec2023,As Expected,001,49.0,0.64,1.87,0.13,01Jan2024-31Dec2024,Better than Expected,001,0.0,0.53,,As Expected,001,117.0,55.9,76.4,30.6,01Apr2025-30JUN2025,001,0.0,001,113.0,1000.0,98.0,257,0.0,,,259,0.0,,,259,0.0,,,48.0,001,0.0,001,21.0,001,113.0,1001.0,1.0,001,117.0,1032.0,8.0,20.0,26.0,26.0,19.0,001,117.0,1047.0,6.0,259,0.0,,
012508,8,DaVita Birmingham East Dialysis,01Jan2021-31Dec2024,2.0,001,1105 EAST PARK DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 833-6003,Profit,Yes,DaVita,No,16,Yes,No,No,1979-06-28,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,190.0,25.2,41.1,15.3,01Jan2024-31Dec2024,As Expected,001,48.0,175.6,288.4,114.3,01Jan2024-31Dec2024,As Expected,001,60.0,21.0,36.9,9.7,01Jan2024-31Dec2024,Not Available,199,13.0,,,,01Jan2021-31Dec2023,As Expected,001,23.0,0.0,1.11,0.0,As Expected,001,56.0,7.6,35.6,1.2,01Jan2024-31Dec2024,As Expected,001,17.0,1.09,2.34,0.52,01Jan2023-31Dec2024,As Expected,001,36.0,0.83,2.01,0.2,01Jan2021-31Dec2023,As Expected,001,35.0,1.36,3.17,0.44,01Jan2024-31Dec2024,Better than Expected,001,0.0,0.82,,As Expected,001,59.0,54.5,76.5,31.0,01Apr2025-30JUN2025,001,5.0,280,56.0,536.0,,280,0.0,,,280,0.0,,,280,0.0,,,8.0,001,0.0,001,13.0,280,56.0,549.0,,280,61.0,559.0,,,,,,001,59.0,548.0,9.0,280,0.0,,
012512,8,FMC SELMA,01Jan2021-31Dec2024,2.0,001,905 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,Dallas,(334) 874-9021,Profit,Yes,Fresenius Medical Care,No,26,Yes,No,No,1980-08-25,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,282.0,25.7,39.1,17.6,01Jan2024-31Dec2024,As Expected,001,68.0,112.5,200.9,67.3,01Jan2024-31Dec2024,As Expected,001,54.0,20.0,33.3,10.3,01Jan2024-31Dec2024,Worse than Expected,001,20.0,70.2,169.9,35.9,01Jan2021-31Dec2023,Worse than Expected,001,33.0,0.0,0.99,0.0,As Expected,001,52.0,3.7,22.7,0.5,01Jan2024-31Dec2024,As Expected,001,24.0,0.61,1.65,0.24,01Jan2023-31Dec2024,As Expected,001,41.0,0.52,1.48,0.1,01Jan2021-31Dec2023,Worse than Expected,001,47.0,0.0,0.77,0.0,01Jan2024-31Dec2024,As Expected,001,0.21,1.02,0.01,As Expected,001,67.0,60.3,82.4,36.8,01Apr2025-30JUN2025,001,0.0,001,60.0,569.0,98.0,199,5.0,27.0,,259,0.0,,,259,0.0,,,20.0,001,0.0,001,15.0,001,69.0,642.0,1.0,001,71.0,671.0,9.0,17.0,22.0,27.0,25.0,001,67.0,642.0,12.0,259,0.0,,
012513,8,BMA LANGDALE,01Jan2021-31Dec2024,5.0,001,8 MEDICAL PARK,,VALLEY,AL,36854,Chambers,(334) 756-4192,Profit,Yes,Fresenius Medical Care,No,19,Yes,No,No,1981-02-12,01Jul2024-30Jun2025,01Jul2024-30Jun2025,01Jan2021-31Dec2024,As Expected,001,319.0,17.6,29.9,10.6,01Jan2024-31Dec2024,As Expected,001,83.0,117.5,201.6,72.8,01Jan2024-31Dec2024,Better than Expected,001,49.0,12.9,26.7,4.4,01Jan2024-31Dec2024,As Expected,001,23.0,37.2,138.1,13.8,01Jan2021-31Dec2023,Not Available,199,13.0,,,,As Expected,001,52.0,5.0,38.4,0.4,01Jan2024-31Dec2024,As Expected,001,27.0,0.81,1.99,0.35,01Jan2023-31Dec2024,As Expected,001,25.0,0.7,2.32,0.07,01Jan2021-31Dec2023,As Expected,001,26.0,0.41,2.28,0.01,01Jan2024-31Dec2024,As Expected,001,0.28,1.37,0.01,Better than Expected,001,83.0,85.6,100.0,71.3,01Apr2025-30JUN2025,001,0.0,001,77.0,734.0,99.0,257,0.0,,,259,0.0,,,259,0.0,,,27.0,001,0.0,001,15.0,001,77.0,734.0,0.0,001,83.0,750.0,6.0,20.0,31.0,27.0,17.0,001,83.0,766.0,4.0,259,0.0,,
