AIANNH,AITS1,AITS2,AITS3,AITSCC,AITSCE,AITSNS,AREALAND,AREAWATER,BASENAME,CENTLAT,CENTLON,FSRFLG,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSADC,MTFCC,NAME,OBJECTID,OID,AGENCY,P_total,population,blocks_count,SPAI_weighted,SPAR_weighted
2430,35-27850,NA,NA,D7,275,02418947,414219279,1563705,Gadii'ahi,+36.9319086,-108.7951461,F,A,2430275,+36.9257847,-108.7889667,T2,G2300,Gadii'ahi Chapter,9,257901461484889,Shiprock,11259.173608606934,476,131,5.932298613068052e-5,1.6686821361740878
2430,35-32695,NA,NA,D7,312,02418964,489187418,507808,Hogback,+36.7932141,-108.5988693,F,A,2430312,+36.7906452,-108.5972122,T2,G2300,Hogback Chapter,10,257901461484890,Shiprock,32972.800562739816,1508,163,6.388567274059888e-5,1.7970248602264405
2430,35-09920,NA,NA,D7,085,02419325,840687830,18789,Burnham,+36.3383658,-108.4264309,F,A,2430085,+36.3464025,-108.4392894,T2,G2300,Burnham Chapter,27,257901461484887,Shiprock,5030.260911247553,200,151,9.157851544160242e-6,0.25759902314781175
2430,35-27770,NA,NA,D7,270,02418946,397235554,450923,Fruitland,+36.5882924,-108.3399853,F,A,2430270,+36.5942089,-108.3498323,T2,G2300,Fruitland Chapter,28,257901461484888,Shiprock,55817.796388491974,2590,131,6.628214754597925e-5,1.8644347287843102
2430,35-53625,NA,NA,D7,560,02419039,64133452,0,Ojo Encino,+35.9469968,-107.3662805,F,A,2430560,+35.9749718,-107.3636370,T2,G2300,Ojo Encino Chapter,38,257901371366295,Crownpoint,7212.364062406295,378,70,5.186907134071968e-5,1.4590127438213203
2430,04-33990,NA,NA,D7,315,02418968,323425793,114454,Houck,+35.2947555,-109.2743757,F,A,2430315,+35.3007570,-109.2722624,T2,G2300,Houck Chapter,44,257901190687257,Fort Defiance,34617.97361020568,1403,124,2.991565521901761e-5,0.8414903347237345
2430,04-36166,NA,NA,D7,340,02418980,245605013,90262,Jeddito,+35.7705540,-110.0594864,F,A,2430340,+35.7217531,-110.1564275,T2,G2300,Jeddito Chapter,45,257901190687258,Fort Defiance,31098.601806642568,1283,97,3.030045079959085e-5,0.8523141578867635
2430,04-37770,NA,NA,D7,365,02418988,768672600,179416,Kinlichee,+35.7482394,-109.3183559,F,A,2430365,+35.7512609,-109.3265854,T2,G2300,Kinlichee Chapter,46,257901190687259,Fort Defiance,34596.628479629406,1564,297,3.1844175916455145e-5,0.8957372337245202
2430,04-38260,NA,NA,D7,370,02418989,639843669,275596,Klagetoh,+35.5080502,-109.5369595,F,A,2430370,+35.5075869,-109.5369492,T2,G2300,Klagetoh Chapter,47,257901190687260,Fort Defiance,19676.922325135954,768,220,7.325331098290142e-6,0.20605249233998818
2430,04-42606,NA,NA,D7,425,02419004,292863138,57539,Low Mountain,+35.9432671,-109.9735437,F,A,2430425,+35.9864375,-109.9439162,T2,G2300,Low Mountain Chapter,48,257901190687261,Chinle,20096.93108775409,754,68,1.553150464687206e-5,0.43688199199966565
2430,04-42670,NA,NA,D7,430,02419005,415338083,719362,Lukachukai,+36.4296532,-109.2398228,F,A,2430430,+36.4290006,-109.2465490,T2,G2300,Lukachukai Chapter,49,257901190687262,Chinle,35218.479573339915,1774,139,2.495983778102059e-5,0.7020893273181287
2430,04-18582,49-18937,NA,D7,160,02418905,1584701403,213221,Dennehotso,+36.8378104,-109.8400737,F,A,2430160,+36.8457121,-109.7871236,T2,G2300,Dennehotso Chapter,50,257901190686636,Tuba City,31442.71350301213,1428,253,5.3835085442694554e-5,1.5143142858611114
2430,04-24470,35-27112,NA,D7,260,02418938,346523927,56487,Fort Defiance,+35.7612461,-109.0475583,F,A,2430260,+35.7616802,-109.0473658,T2,G2300,Fort Defiance Chapter,51,257901190686771,Fort Defiance,101977.23030923135,5350,225,4.9945761369968926e-5,1.404912416109437
2430,04-26220,NA,NA,D7,280,02418948,427728808,1210001,Ganado,+35.7468809,-109.5709182,F,A,2430280,+35.7532818,-109.5766526,T2,G2300,Ganado Chapter,52,257901190687254,Fort Defiance,47481.80036658785,2110,211,4.414473618816336e-5,1.2417367615486383
2430,04-29446,NA,NA,D7,290,02418953,870211180,299240,Greasewood,+35.4346691,-109.8914781,F,A,2430290,+35.4412546,-109.8676475,T2,G2300,Greasewood Chapter,53,257901190687256,Fort Defiance,33962.247361849244,1091,208,1.1072247983636259e-6,0.031144862426316713
2430,35-84565,NA,NA,D7,945,02419521,233563264,15113,White Horse Lake,+35.7772264,-107.6286350,F,A,2430945,+35.8125575,-107.6411303,T2,G2300,White Horse Lake Chapter,59,257901476505448,Crownpoint,11104.84515122279,487,199,1.1610139520968276e-5,0.3265788471007015
2430,35-18362,NA,NA,D7,140,02418884,167509879,96373,Counselor,+36.0879415,-107.5010083,F,A,2430140,+36.0805410,-107.4970374,T2,G2300,Counselor Chapter,60,257901371366294,Crownpoint,19898.613910900385,807,134,2.4251665152199462e-5,0.6821693082476439
2430,04-72598,NA,NA,D7,832,02419490,334696910,34931,Teesto,+35.4636143,-110.4723855,F,A,2430832,+35.4661180,-110.4736665,T2,G2300,Teesto Chapter,64,257901240858726,Fort Defiance,21549.029895912605,810,104,3.762412027020805e-5,1.0583199106980175
2430,35-60010,NA,NA,D7,630,02419066,123453790,0,Pueblo Pintado,+35.9333897,-107.6134081,F,A,2430630,+35.9333897,-107.6134081,T2,G2300,Pueblo Pintado Chapter,99,257901476505439,Crownpoint,7922.286770869622,331,98,9.913249975628126e-7,0.027884744556383158
2430,35-80690,NA,NA,D7,890,02419506,411587688,603403,Two Grey Hills,+36.2655245,-108.8539625,F,A,2430890,+36.2636019,-108.8547018,T2,G2300,Two Grey Hills Chapter,101,257901461484899,Shiprock,28110.285153432156,1096,142,7.695547436320794e-6,0.21646621946476008
2430,35-84775,NA,NA,D7,950,02419522,346257753,344834,White Rock,+36.1090827,-108.3082666,F,A,2430950,+36.1058325,-108.3020903,T2,G2300,White Rock Chapter,102,257901461484900,Crownpoint,6517.746261347578,236,146,1.7137594947014538e-5,0.48205932321199607
2430,04-19245,NA,NA,D7,170,02418906,827876646,331763,Dilcon,+35.3121170,-110.3995478,F,A,2430170,+35.3136221,-110.4000134,T2,G2300,Dilcon Chapter,103,257901240858720,Fort Defiance,47339.60151338952,2043,208,3.435580133073481e-5,0.9663861463119082
2430,04-24090,NA,NA,D7,250,02418937,580696870,78694,Forest Lake,+36.3277428,-110.2978582,F,A,2430250,+36.3483043,-110.2535138,T2,G2300,Forest Lake Chapter,104,257901240858721,Chinle,15172.201294748309,528,101,4.104179935716614e-6,0.11544549910700642
2430,04-31186,NA,NA,D7,300,02418956,278429137,41444,Hard Rock,+36.1034398,-110.4745502,F,A,2430300,+36.1004311,-110.4727678,T2,G2300,Hard Rock Chapter,105,257901240858722,Chinle,25793.059481829205,980,130,1.7854336936699433e-5,0.5022203877915572
2430,35-79148,NA,NA,D7,855,02419497,218559666,0,Torreon,+35.8268167,-107.2690077,F,A,2430855,+35.8268167,-107.2690077,T2,G2300,Torreon Chapter,108,257901371366296,Crownpoint,33374.496715136454,1714,151,5.0084986165506607e-5,1.4088286371963943
2430,35-05840,NA,NA,D7,030,02419303,105919554,455959,Baca,+35.3643204,-108.0033687,F,A,2430030,+35.3699601,-107.9915287,T2,G2300,Baca Chapter,109,257901357382007,Crownpoint,32268.693205991436,1578,209,5.0176340562470296e-5,1.41139832325263
2430,35-61255,NA,NA,D7,638,02419067,595843600,150170,Ramah,+34.8819836,-108.3940819,F,A,2430638,+34.8837697,-108.3917196,T2,G2300,Ramah Chapter,110,257901357382008,Crownpoint,50476.082521225966,2660,417,2.9983993851940674e-5,0.8434126158394906
2430,04-64600,NA,NA,D7,710,02419133,304823062,174499,Sawmill,+36.0051428,-109.1804829,F,A,2430710,+36.0038042,-109.1808068,T2,G2300,Sawmill Chapter,115,257901190687284,Fort Defiance,15147.931005011756,863,137,1.0593755151992595e-5,0.29798921345919555
2430,04-69595,NA,NA,D7,815,02419479,578932134,1234610,Steamboat,+35.7628592,-109.8297990,F,A,2430815,+35.7568550,-109.8386611,T2,G2300,Steamboat Chapter,116,257901190687285,Fort Defiance,32147.936274079493,1175,185,3.948101731365678e-5,1.1105521250085326
2430,04-71615,NA,NA,D7,820,02419482,694955949,274872,Sweetwater,+36.8126409,-109.3621815,F,A,2430820,+36.8133310,-109.3671198,T2,G2300,Sweetwater Chapter,117,257901190687286,Shiprock,25376.374644463933,1149,141,8.540833579505268e-6,0.24024307189731053
2430,04-71755,NA,NA,D7,825,02419485,385430040,84283,Tachee,+36.1605301,-109.9924414,F,A,2430825,+36.2091871,-109.9653568,T2,G2300,Tachee Chapter,118,257901190687288,Chinle,27685.798270663134,1104,121,1.5692807645492136e-5,0.4414192455983922
2430,49-75525,04-72570,35-76865,D7,830,02419489,738292076,3274944,Teec Nos Pos,+36.9600071,-109.1622568,F,A,2430830,+36.9530625,-109.1832034,T2,G2300,Teec Nos Pos Chapter,119,257901190687291,Shiprock,27189.854203445335,967,184,1.919600079600388e-5,0.5399597306803309
2430,04-75730,35-79857,NA,D7,860,02419499,819809180,2454039,Tsaile-Wheatfields,+36.2438097,-109.2315776,F,A,2430860,+36.2375104,-109.2366190,T2,G2300,Tsaile-Wheatfields Chapter,120,257901190687293,Chinle,37849.34626326319,2539,266,3.0007986376200003e-5,0.8440874958353337
2430,35-06350,NA,NA,D7,040,02419305,302475513,14649,Becenti,+35.8530283,-108.1608822,F,A,2430040,+35.8495531,-108.1592806,T2,G2300,Becenti Chapter,122,257901476505425,Crownpoint,9182.742978992896,502,192,5.5554716363555054e-5,1.5626853741291793
2430,04-16700,NA,NA,D7,141,02418897,202709883,157157,Cove,+36.5420514,-109.1777614,F,A,2430141,+36.5417365,-109.1776115,T2,G2300,Cove Chapter,176,257901190686634,Shiprock,7999.851318430388,363,58,3.75212441257125e-6,0.10554261321518738
2430,04-17508,35-19090,NA,D7,155,02418903,406982774,290917,Crystal,+36.0679437,-109.0242170,F,A,2430155,+36.0675283,-109.0186086,T2,G2300,Crystal Chapter,177,257901190686635,Fort Defiance,17290.568119754607,632,130,1.0832333152736263e-5,0.30470011717277634
2430,04-44210,NA,NA,D7,450,02419009,485848799,6612645,Many Farms,+36.3741835,-109.5588156,F,A,2430450,+36.3701809,-109.5554628,T2,G2300,Many Farms Chapter,195,257901190687264,Chinle,50649.64162337014,2504,210,6.814988715986898e-5,1.9169719311742395
2430,04-46290,49-49435,NA,D7,480,02419015,820666964,321939,Mexican Water,+37.0103352,-109.6107086,F,A,2430480,+37.0139190,-109.5923900,T2,G2300,Mexican Water Chapter,196,257901190687265,Shiprock,18100.031202558235,748,183,3.4347649440851284e-5,0.9661568437445235
2430,04-48325,NA,NA,D7,502,02419027,1420592164,913649,Nahatadziil,+35.0764350,-109.3256748,F,A,2430502,+35.0687743,-109.3244134,T2,G2300,Nahatadziil Chapter,197,257901190687267,Fort Defiance,41251.63317015323,1959,228,3.5830886130664696e-5,1.0078784550362654
2430,04-49020,NA,NA,D7,525,02419032,821679899,150724,Nazlini,+35.9489072,-109.4293443,F,A,2430525,+35.9414370,-109.4439778,T2,G2300,Nazlini Chapter,198,257901190687268,Chinle,23636.269828882803,1210,183,5.115165437519337e-5,1.4388326930072082
2430,04-50490,NA,NA,D7,550,02419038,398010300,280272,Oak Springs,+35.4629413,-109.1735042,F,A,2430550,+35.4649441,-109.1757256,T2,G2300,Oak Springs Chapter,199,257901190687270,Fort Defiance,13514.195354883068,493,101,3.6091461770888885e-5,1.0152081251072627
2430,35-77540,NA,NA,D7,837,02419491,158748698,6703,Thoreau,+35.4618113,-108.2493093,F,A,2430837,+35.4655132,-108.2558751,T2,G2300,Thoreau Chapter,201,257901476505444,Crownpoint,26685.558908023235,1600,129,5.7524333442308595e-5,1.618088263443944
2430,35-78450,NA,NA,D7,845,02419493,708286774,442519,Tohatchi,+35.9201876,-108.6506368,F,A,2430845,+35.9217181,-108.6500499,T2,G2300,Tohatchi Chapter,202,257901476505445,Fort Defiance,32426.710488077504,1446,166,2.794589975644122e-5,0.7860835528434029
2430,35-41375,NA,NA,D7,410,02419001,228670121,0,Littlewater,+35.6422296,-107.9968050,F,A,2430410,+35.6422296,-107.9968050,T2,G2300,Littlewater Chapter,216,257901476505433,Crownpoint,12468.415389969781,604,155,3.863718267308288e-5,1.0868161015469233
2430,35-46670,NA,NA,D7,445,02419008,108943932,0,Manuelito,+35.4028911,-108.9939447,F,A,2430445,+35.4046530,-108.9826610,T2,G2300,Manuelito Chapter,217,257901476505434,Crownpoint,10361.535933233452,500,214,4.3002646351304184e-5,1.2096111887651864
2430,35-46810,NA,NA,D7,455,02419010,246387821,350487,Mariano Lake,+35.5914957,-108.2703789,F,A,2430455,+35.5840616,-108.2532938,T2,G2300,Mariano Lake Chapter,218,257901476505435,Crownpoint,18416.2745366499,850,161,2.3758602836410512e-5,0.6683000758970471
2430,35-48350,NA,NA,D7,475,02419014,388981102,142991,Mexican Springs,+35.8611106,-108.8855877,F,A,2430475,+35.8641339,-108.8730027,T2,G2300,Mexican Springs Chapter,219,257901476505436,Fort Defiance,29309.774167463915,1256,147,3.3523158946420164e-5,0.9429649471587411
2430,35-50813,NA,NA,D7,503,02419028,145896472,0,Nahodishgish,+35.7183848,-108.3253088,F,A,2430503,+35.7183848,-108.3253088,T2,G2300,Nahodishgish Chapter,220,257901476505437,Crownpoint,8652.79517600908,418,53,5.106642836017277e-5,1.4364353907458403
2430,35-57167,NA,NA,D7,600,02419053,108723453,33608,Pinedale,+35.6143246,-108.4500457,F,A,2430600,+35.6145509,-108.4472879,T2,G2300,Pinedale Chapter,221,257901476505438,Crownpoint,29368.01782375037,1532,183,2.5642131817983635e-5,0.7212814136468629
2430,04-76020,NA,NA,D7,870,02419502,920183156,0,Tuba City,+36.2603560,-111.2198525,F,A,2430870,+36.2603560,-111.2198525,T2,G2300,Tuba City Chapter,222,257901203421810,Tuba City,157549.1066574975,9157,241,1.0535091706139922e-4,2.9633908337428823
2430,04-61445,NA,NA,D7,678,02419082,495568284,301455,Round Rock,+36.5290211,-109.4500564,F,A,2430678,+36.5488237,-109.4743896,T2,G2300,Round Rock Chapter,242,257901190687280,Chinle,19035.3245774455,1012,132,3.142294136199066e-5,0.8838884273507859
2430,35-65665,04-62430,NA,D7,687,02419123,305802115,245182,St. Michaels,+35.6179395,-109.1270890,F,A,2430687,+35.6244563,-109.1237296,T2,G2300,St. Michaels Chapter,243,257901190687281,Fort Defiance,106262.81525579546,5269,237,5.153271510730867e-5,1.4495514595082322
2430,35-69630,04-63632,NA,D7,700,02419130,1003960146,645269,Sanostee,+36.4523735,-108.8430052,F,A,2430700,+36.4489368,-108.8505753,T2,G2300,Sanostee Chapter,244,257901190687283,Shiprock,38486.47768994235,1518,312,1.1061847367108003e-5,0.3111560678000171
2430,49-53900,04-48747,NA,D7,520,02419031,1411574326,50701,Navajo Mountain,+37.0335802,-110.7823530,F,A,2430520,+37.0458643,-110.8165885,T2,G2300,Navajo Mountain Chapter,280,257901203421805,Tuba City,16543.101500759283,679,63,0,0
2430,35-11206,NA,NA,D7,092,02419331,313989163,345667,Cañoncito,+35.1166844,-107.0888830,F,A,2430092,+35.1156264,-107.0860594,T2,G2300,Cañoncito Chapter,288,25790492973743,Crownpoint,33028.07856329124,1719,109,2.7419714738588155e-5,0.7712826199018338
2430,35-51730,NA,NA,D7,530,02419033,363089253,5861970,Nenahnezad/San Juan,+36.6307335,-108.4925124,F,A,2430530,+36.6017153,-108.4810246,T2,G2300,Nenahnezad/San Juan Chapter,307,257901461484895,Shiprock,31480.092159206488,1538,149,5.441024658900839e-5,1.5304928566458165
2430,35-51780,NA,NA,D7,540,02419034,336822756,76370,Newcomb,+36.3323999,-108.6402588,F,A,2430540,+36.3312581,-108.6564572,T2,G2300,Newcomb Chapter,308,257901461484896,Shiprock,13729.277899539411,542,103,8.348830822670287e-6,0.2348422721175939
2430,35-72610,NA,NA,D7,730,02419139,328310636,296676,Sheep Springs,+36.1660496,-108.7478537,F,A,2430730,+36.1525615,-108.7636444,T2,G2300,Sheep Springs Chapter,309,257901461484897,Shiprock,17096.64472023444,659,99,8.12312853130177e-6,0.22849354616387085
